legacy_record_id,inchikey,source_file,source_role,compound,filtered,farma_elite,top_hit,nh_4ey7,nh_isolated,master
LEGACY-INCHIKEY-YMWKWOVQZDRXRC-UHFFFAOYSA-N,YMWKWOVQZDRXRC-UHFFFAOYSA-N,formolecular/novo_horizonte/banco_mestre_unificado.csv,MASTER_UNIFIED,YMWKWOVQZDRXRC-UHFFFAOYSA-N,0,0,0,0,0,1
LEGACY-INCHIKEY-YMZNKMKEUKPTCQ-UHFFFAOYSA-N,YMZNKMKEUKPTCQ-UHFFFAOYSA-N,formolecular/novo_horizonte/banco_mestre_unificado.csv,MASTER_UNIFIED,YMZNKMKEUKPTCQ-UHFFFAOYSA-N,0,0,0,0,0,1
LEGACY-INCHIKEY-YNBYLUFCMLJNCD-UHFFFAOYSA-N,YNBYLUFCMLJNCD-UHFFFAOYSA-N,formolecular/novo_horizonte/banco_mestre_unificado.csv,MASTER_UNIFIED,YNBYLUFCMLJNCD-UHFFFAOYSA-N,0,0,0,0,0,1
LEGACY-INCHIKEY-YNDXPDLMUDXGOW-UHFFFAOYSA-N,YNDXPDLMUDXGOW-UHFFFAOYSA-N,formolecular/novo_horizonte/banco_mestre_unificado.csv,MASTER_UNIFIED,YNDXPDLMUDXGOW-UHFFFAOYSA-N,0,0,0,0,0,1
LEGACY-INCHIKEY-YNFVKYVHEVIIFI-UHFFFAOYSA-N,YNFVKYVHEVIIFI-UHFFFAOYSA-N,formolecular/novo_horizonte/banco_mestre_unificado.csv,MASTER_UNIFIED,YNFVKYVHEVIIFI-UHFFFAOYSA-N,0,0,0,0,0,1
LEGACY-INCHIKEY-YNHZIRHQIFDFDL-UHFFFAOYSA-N,YNHZIRHQIFDFDL-UHFFFAOYSA-N,formolecular/novo_horizonte/banco_mestre_unificado.csv,MASTER_UNIFIED,YNHZIRHQIFDFDL-UHFFFAOYSA-N,0,0,0,0,0,1
LEGACY-INCHIKEY-YNJUCDXVFBMHGG-UHFFFAOYSA-N,YNJUCDXVFBMHGG-UHFFFAOYSA-N,formolecular/novo_horizonte/banco_mestre_unificado.csv,MASTER_UNIFIED,YNJUCDXVFBMHGG-UHFFFAOYSA-N,0,0,0,0,0,1
LEGACY-INCHIKEY-YNMPPUYDBNZBSM-UHFFFAOYSA-N,YNMPPUYDBNZBSM-UHFFFAOYSA-N,formolecular/novo_horizonte/banco_mestre_unificado.csv,MASTER_UNIFIED,YNMPPUYDBNZBSM-UHFFFAOYSA-N,0,0,0,0,0,1
LEGACY-INCHIKEY-YNOJSDJIBIUZAB-UHFFFAOYSA-N,YNOJSDJIBIUZAB-UHFFFAOYSA-N,formolecular/novo_horizonte/banco_mestre_unificado.csv,MASTER_UNIFIED,YNOJSDJIBIUZAB-UHFFFAOYSA-N,0,0,0,0,0,1
LEGACY-INCHIKEY-YNPAQOZJKCGGEC-UHFFFAOYSA-N,YNPAQOZJKCGGEC-UHFFFAOYSA-N,formolecular/novo_horizonte/banco_mestre_unificado.csv,MASTER_UNIFIED,YNPAQOZJKCGGEC-UHFFFAOYSA-N,0,0,0,0,0,1
