ID_Mestre,SMILES,1EVE_Eficacia,5W8K_Risco,Indice_Seletividade,Origem_Historica
MOL_01067,CCOC(=O)C1C(CC)CCC1c1cnccc1I,-7.528,-5.583,1.945,Fase 2_Seletividade
MOL_01068,CCOC(=O)C1C(F)CCC1c1cnccc1C=O,-7.528,-5.763,1.765,Fase 2_Seletividade
MOL_01069,N#Cc1ccncc1C1CCC(CF)C1C(=O)C1CC1,-7.528,-5.967,1.561,Fase 2_Seletividade
MOL_01070,COc1ccncc1C1CCC(CF)C1C(=O)C=O,-7.527,-5.789,1.738,Fase 2_Seletividade
MOL_01071,CNC(=O)C1C(N)CCC1c1cnccc1C=O,-7.527,-6.27,1.257,Fase 2_Seletividade
MOL_01072,COC(=O)c1ccncc1C1CCC(C)C1C(=O)CC1CC1,-7.525,-6.07,1.455,Fase 1_Lote Inicial
MOL_01073,CC(C)c1ccncc1C1CCC(N)C1C(=O)C=O,-7.525,-6.094,1.431,Fase 2_Seletividade
MOL_01074,CC(C)c1ccncc1C1CCC(O)C1C(=O)O,-7.525,-6.18,1.345,Fase 2_Seletividade
MOL_01075,CNC(=O)C1C(C#N)CCC1c1cnccc1O,-7.524,-6.558,0.966,Fase 2_Seletividade
MOL_01076,CC1CCC(c2cnccc2CF)C1C(N)=O,-7.522,-5.91,1.612,Fase 2_Seletividade
MOL_01077,CC(C)C(=O)C1C(CF)CCC1c1cnccc1C(F)F,-7.522,-5.941,1.581,Fase 3_Super Elite
MOL_01078,CCCC(=O)C1C(CF)CCC1c1cnccc1Br,-7.521,-6.274,1.247,Fase 3_Super Elite
MOL_01079,O=CC(=O)C1C(O)CCC1c1cnccc1F,-7.52,-5.739,1.781,Fase 2_Seletividade
MOL_01080,N#CC1CCC(c2cnccc2C2CC2)C1C(N)=O,-7.52,-6.295,1.225,Fase 2_Seletividade
MOL_01081,CCNC(=O)C1C(OC)CCC1c1cnccc1C(F)F,-7.52,-6.367,1.153,Fase 2_Seletividade
MOL_01082,CC(=O)C1C(C#N)CCC1c1cnccc1C,-7.519,-6.233,1.286,Fase 2_Seletividade
MOL_01083,CC(=O)C1C(O)CCC1c1cnccc1C(F)F,-7.518,-5.985,1.533,Fase 2_Seletividade
MOL_01084,NC(=O)C1C(F)CCC1c1cnccc1O,-7.518,-6.395,1.123,Fase 2_Seletividade
MOL_01085,O=CC1CCC(c2cnccc2F)C1C(=O)C(=O)O,-7.517,-6.056,1.461,Fase 2_Seletividade
MOL_01086,Cc1ccncc1C1CCC(O)C1C(N)=O,-7.516,-5.862,1.654,Fase 2_Seletividade
MOL_01087,CC(=O)C1C(F)CCC1c1cnccc1F,-7.514,-5.67,1.844,Fase 2_Seletividade
MOL_01088,CCc1ccncc1C1CCC(S)C1C(=O)C(=O)O,-7.514,-5.982,1.532,Fase 2_Seletividade
MOL_01089,CCNC(=O)C1C(OC)CCC1c1cnccc1F,-7.514,-6.392,1.122,Fase 2_Seletividade
MOL_01090,COC(=O)C1C(C)CCC1c1cnccc1C1CC1,-7.513,-5.981,1.532,Fase 2_Seletividade
MOL_01091,CCCC(=O)C1C(C=O)CCC1c1cnccc1O,-7.513,-5.99,1.523,Fase 2_Seletividade
MOL_01092,CCCC(=O)C1C(C#N)CCC1c1cnccc1C,-7.51,-5.645,1.865,Fase 2_Seletividade
MOL_01093,CCCC(=O)C1C(CF)CCC1c1cnccc1N,-7.51,-5.892,1.618,Fase 3_Super Elite
MOL_01094,NC(=O)C1C(S)CCC1c1cnccc1N,-7.51,-6.002,1.508,Fase 2_Seletividade
MOL_01095,CC(=O)C1C(O)CCC1c1cnccc1CF,-7.51,-6.345,1.165,Fase 2_Seletividade
MOL_01096,CCCC(=O)C1C(OC)CCC1c1cnccc1C=O,-7.509,-5.965,1.544,Fase 1_Lote Inicial
MOL_01097,CCC1CCC(c2cnccc2OC)C1C(=O)NC,-7.509,-6.019,1.49,Fase 2_Seletividade
MOL_01098,CCc1ccncc1C1CCC(N)C1C(=O)NC,-7.509,-6.536,0.973,Fase 2_Seletividade
MOL_01099,CCc1ccncc1C1CCC(O)C1C(N)=O,-7.508,-6.31,1.198,Fase 2_Seletividade
MOL_01100,CC(C)CC(=O)C1C(C)CCC1c1cnccc1C(F)F,-7.508,-6.803,0.705,Fase 1_Lote Inicial
MOL_01101,COC(=O)C1C(O)CCC1c1cnccc1CF,-7.507,-5.814,1.693,Fase 3_Super Elite
MOL_01102,CC(=O)C1C(C=O)CCC1c1cnccc1F,-7.507,-6.067,1.44,Fase 2_Seletividade
MOL_01103,CCOC(=O)C1C(C#N)CCC1c1cnccc1C,-7.506,-5.769,1.737,Fase 2_Seletividade
MOL_01104,CCc1ccncc1C1CCC(N)C1C(=O)O,-7.506,-6.346,1.16,Fase 2_Seletividade
MOL_01105,CC(C)C(=O)C1C(C#N)CCC1c1cnccc1CF,-7.506,-6.62,0.886,Fase 2_Seletividade
MOL_01106,CCOC(=O)C1C(C)CCC1c1cnccc1C=O,-7.505,-5.44,2.065,Fase 2_Seletividade
